text,rating,date
Bought for gift and was expecting a gift voucher but received an email instead. Not very good for a gift.,4,2022/12/28
Ok but not that easy to use,4,2022/12/28
Got me what I wanted when I wanted it,5,2022/12/26
Bought this for my niece and she was able to purchase a game with it. Easy to activate.,4,2022/12/14
"not really sure what to put, paid for a £20 psn voucher, and received an email an a under a min with a £20 psn voucher",5,2022/12/25
It was fast delivery of the code and went straight through.,5,2022/12/22
Well worth the money hubby was over moon with it,5,2022/12/22
"Can't really go wrong here, this is the official product and you get your code quick and easily.",5,2022/12/18
Instant delivery to your email & all you have to enter is a code which is provided. Very simple & easy.,5,2022/12/27
Keeps my teenage son out of bother. Plenty games to play,5,2022/12/25
Needed to add credit to my sons PS5 and ordered this card. Whole process was really easy and redeemed code to claim amount.,5,2022/12/23
"Unfortunately not able to purchase 2 £50 gift cards, reasons unknown.",5,2022/12/23
Excellent! I bought this gift card and the code was available immediately and was able to redeem it right away to add the funds to my PSN account 🙂,5,2022/12/22
It is what it is,5,2022/12/24
Why do I have to print these off. Not happy,5,2022/12/21
As described. My son was able to claim and use via the PS store.,5,2022/12/18
I buy these every year so my son can keep playing his play station on line and communicate with his pals. It so each just buy and pop the code into the game console and the funds are there .,5,2022/12/12
Cool,5,2022/12/24
Bought myself some v bucks on Fortnite. Very nice,5,2022/12/22
…,5,2022/12/23
brother happy,5,2022/12/21
Ordered and got the Voucher code within mins,5,2022/12/14
Best and easiest way,5,2022/12/18
Nothing.,5,2022/12/17
If you buy one you should get one free.,5,2022/12/13
"Easy, fast saves going out",5,2022/12/13
Not much else to say. Pretty self explanatory.,5,2022/12/11
received the codes straight away and very easy to add them to PS store,5,2022/12/06
"Not much to say, you get the code instantly and it works fine",5,2022/12/04
"Ready to use straight after bought, very good 👍",5,2022/12/04
Load of flagging about to get a code for a present for some one else,4,2022/11/24
Easier then buying in-store,5,2022/12/06
"It's a gift card, what can I say?",5,2022/12/05
Nice hobby,5,2022/12/04
